SHIELD,HWY_NUM,STATE,WEB_ID,Name,Type,Owner,Shield_id,DIR_1,CAP_1,ACT_1A,ACT_1B,DEVICE_1,DIR_2,CAP_2,ACT_2A,ACT_2B,DEVICE_2,YEAR,SOURCE,SHLD_ID,Shape_Leng
S,55,NJ,31,NJ 55,Limited Access Highway,NJDOT,55.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,55,71079.68914200000
S,90,NJ,41,NJ 90,Limited Access Highway,DRPA,0.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,n90,10805.70357930000
S,90,PA,42,PA 90,Limited Access Highway,DRPA,90.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,90,2656.50752512000
U,422,PA,24,US 422 (Pottstown Expressway),Limited Access Highway,PennDOT,422.00000000000,WB,2.00000000000,2177,8.0%,69632,EB,2.00000000000,n/a,n/a,,2010.00000000000,DVRPC,422,75278.40481330000
I,195,NJ,5,I 195,Interstate Highway,NJDOT,195.00000000000,WB,2.00000000000,n/a,n/a,00195B,EB,2.00000000000,3440,9.9%,00195B,2011.00000000000,NJ DOT WiM,195,27950.19987520000
T,ACEXPR,NJ,53,Atlantic City Expressway,Limited Access Highway,South Jersey Transportation Authority,0.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,acexpr,48149.94830480000
I,676,NJ,33,I 676,Interstate Highway,NJDOT,676.00000000000,NB,4.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,676,15254.06956240000
T,GSPKWY,NJ,54,Garden State Parkway,Limited Access Highway,New Jersey Turnpike Authority,0.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,gspkwy,16372.06875310000
I,676,PA,34,I 676 (Vine Street Expressway),Interstate Highway,PennDOT,676.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,676,10505.71548160000
I,76,NJ,35,I 76,Interstate Highway,DRPA,76.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,76,14489.87560250000
T,276,PA,12,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,276.00000000000,WB,2.00000000000,n/a,n/a,,EB,2.00000000000,n/a,n/a,,0.00000000000,,276,23788.28846000000
U,13,PA,4,US 13 (Bristol Pike),Limited Access Highway,PennDOT,13.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,13,12951.52595730000
S,42,NJ,23,NJ 42,Limited Access Highway,NJDOT,42.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,42,25847.60176890000
U,202,PA,10,US 202 (West Chester Bypass),Limited Access Highway,PennDOT,202.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,202,29473.37913420000
S,100,PA,2,PA 100 (South Pottstown Pike),Limited Access Highway,PennDOT,100.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,100,9171.44089151000
U,30,PA,20,US 30 (Exton Bypass),Limited Access Highway,PennDOT,30.00000000000,WB,2.00000000000,n/a,n/a,,EB,2.00000000000,n/a,n/a,,0.00000000000,,30,63134.69290830000
S,309,PA,22,PA 309 (Fort Washington Expressway),Limited Access Highway,PennDOT,309.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,309,36460.93853100000
U,1,NJ,1,US 1 (Trenton Freeway),Limited Access Highway,PennDOT,1.00000000000,NB,2.00000000000,1833,7.4%,65388,SB,2.00000000000,2189,9.3%,65389,2011.00000000000,DVRPC,1,16697.11623870000
S,63,PA,32,PA 63 (Woodhaven Road),Limited Access Highway,PennDOT,63.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,63,10359.38212840000
U,1Kennet,PA,7,US 1 (Kennet Oxfrd Bypass),Limited Access Highway,PennDOT,1.00000000000,NB,2.00000000000,1037,10.2%,69645,SB,2.00000000000,944,9.0%,69646,2010.00000000000,DVRPC,1,36254.30866130000
U,1Media,PA,8,US 1 (Media Bypass),Limited Access Highway,PennDOT,1.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,1,9220.50492380000
U,1Blvd,PA,6,US 1 (Roosevelt Blvd),Limited Access Highway,PennDOT,1.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,1,5740.75459332000
U,1Super,PA,9,US 1,Limited Access Highway,PennDOT,1.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,1,23224.58849480000
U,30,NJ,21,US 30 (Admiral Wilson Blvd),Limited Access Highway,NJDOT,30.00000000000,WB,4.00000000000,n/a,n/a,,EB,4.00000000000,n/a,n/a,,0.00000000000,,30,3419.57992349000
I,95,PA,43,I 95,Interstate Highway,PennDOT,95.00000000000,NB,4.00000000000,n/a,n/a,,SB,4.00000000000,n/a,n/a,,0.00000000000,,95,11419.20416310000
I,95,PA,44,I 95,Interstate Highway,PennDOT,95.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,95,38289.41880640000
I,95,PA,45,I 95,Interstate Highway,PennDOT,95.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,95,21345.56883120000
I,95,PA,46,I 95,Interstate Highway,PennDOT,95.00000000000,NB,4.00000000000,n/a,n/a,,SB,4.00000000000,n/a,n/a,,0.00000000000,,95,17488.48107470000
I,95,PA,47,I 95,Interstate Highway,PennDOT,95.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,95,27076.01396760000
I,95,PA,48,I 95,Interstate Highway,PennDOT,95.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,95,35017.79150770000
I,295,NJ,16,I 295,Interstate Highway,NJDOT,295.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,295,24974.75392320000
I,295,NJ,17,I 295,Interstate Highway,NJDOT,295.00000000000,NB,3.00000000000,4184,12.6%,00295L,SB,4.00000000000,4129,13.0%,00295L,2011.00000000000,NJ DOT WiM,295,82761.59513830001
I,295,NJ,18,I 295,Interstate Highway,NJDOT,295.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,295,40828.47750140000
I,295,NJ,19,I 295,Interstate Highway,NJDOT,295.00000000000,NB,3.00000000000,5468,8.9%,00295c,SB,3.00000000000,5042,8.5%,00295c,2011.00000000000,NJ DOT WiM,295,43891.34033290000
I,95,NJ,49,I 95,Interstate Highway,NJDOT,95.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,95,26083.48018640000
I,95,NJ,50,I 95,Interstate Highway,NJDOT,95.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,95,46532.07561670000
I,95,NJ,51,I 95,Interstate Highway,NJDOT,95.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,95,18360.66053120000
T,NJTPK,NJ,56,I 95 (New Jersey Turnpike),Interstate Highway,New Jersey Turnpike Authority,95.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,95,33740.80628370000
T,NJTPK,NJ,57,New Jersey Turnpike,Limited Access Highway,New Jersey Turnpike Authority,0.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,njtpk,55581.08310960000
T,NJTPK,NJ,58,New Jersey Turnpike,Limited Access Highway,New Jersey Turnpike Authority,0.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,njtpk,26887.63070370000
T,NJTPK,NJ,59,New Jersey Turnpike,Limited Access Highway,New Jersey Turnpike Authority,0.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,njtpk,42710.74959940000
T,NJTPK,NJ,60,New Jersey Turnpike,Limited Access Highway,New Jersey Turnpike Authority,0.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,njtpk,16079.08406840000
T,76,PA,36,I 76 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,76.00000000000,WB,2.00000000000,n/a,n/a,,EB,2.00000000000,n/a,n/a,,0.00000000000,,76,83810.56134010000
I,76,PA,37,I 76 (Schuykill Expressway),Interstate Highway,PennDOT,76.00000000000,WB,2.00000000000,n/a,n/a,,EB,2.00000000000,3711,7.9%,,2010.00000000000,DVRPC,76,16698.63068250000
I,76,PA,38,I 76 (Schuykill Expressway),Interstate Highway,PennDOT,76.00000000000,WB,2.00000000000,4286,7.3%,66354,EB,2.00000000000,4690,8.2%,,2010.00000000000,DVRPC,76,26407.39453070000
I,76,PA,39,I 76 (Schuykill Expressway),Interstate Highway,PennDOT,76.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,76,13824.08534740000
I,76,PA,40,I 76 (Schuykill Expressway),Interstate Highway,PennDOT,76.00000000000,WB,2.00000000000,2046,8.8%,66356,EB,2.00000000000,2396,9.4%,,2010.00000000000,DVRPC,76,23226.10829500000
T,476,PA,25,I 476 (Pennsylvania Turnpike Northeast Extension),Interstate Highway,Pennsylvania Turnpike Commission,476.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,476,48934.59336390000
T,476,PA,26,I 476 (Pennsylvania Turnpike Northeast Extension),Interstate Highway,Pennsylvania Turnpike Commission,476.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,0.00000000000,,476,34970.70843390000
I,476,PA,27,I 476,Interstate Highway,PennDOT,476.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,476,12330.66007320000
I,476,PA,27,I 476,Interstate Highway,PennDOT,476.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,476,17258.55141720000
I,476,PA,30,I 476,Interstate Highway,PennDOT,476.00000000000,NB,3.00000000000,n/a,n/a,,SB,3.00000000000,n/a,n/a,,0.00000000000,,476,35376.42636760000
T,276,PA,13,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,276.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,276,24838.13555060000
T,276,PA,14,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,276.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,276,13661.83950770000
T,276,PA,15,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,276.00000000000,WB,3.00000000000,n/a,n/a,,EB,3.00000000000,n/a,n/a,,0.00000000000,,276,43624.81101160000
U,322,PA,62,US 322,Limited Access Highway,PennDOT,322.00000000000,WB,3.00000000000,n/a,n/a,,EB,2.00000000000,n/a,n/a,,0.00000000000,,322,5965.76978300000
U,130,NJ,61,US 130,Limited Access Highway,NJDOT,130.00000000000,NB,2.00000000000,n/a,n/a,,SB,2.00000000000,n/a,n/a,,2013.00000000000,DVRPC,130,7561.34728984000
U,322,NJ,62,US 322,Limited Access Highway,NJDOT,322.00000000000,WB,3.00000000000,n/a,n/a,,EB,2.00000000000,n/a,n/a,,0.00000000000,,322,3681.57240723000
